P,Q,V,F
1000.0,450.0,0.0,0.0
1000.0,450.08336112037347,0.018532351392823977,1.6532046115108638
1000.0,450.16672224074694,0.07411972491216783,3.2786496061297266
1000.0,450.25008336112035,0.16671253394931385,4.87677887483897
1000.0,450.3334444814938,0.2962145493076312,6.448076140914546
1000.0,450.4168056018673,0.46248308773415014,7.993064827959298
1000.0,450.50016672224075,0.6653292590630974,9.512307878322712
1000.0,450.5835278426142,0.9045182715944405,11.00640752230667
1000.0,450.6668889629877,1.1797697952571913,12.476004998618562
1000.0,450.7502500833611,1.4907583820345685,13.921780226594302
1000.0,450.83361120373456,1.8371139430562269,15.34445143077427
1000.0,450.91697232410803,2.218422281691691,16.74477471847482
1000.0,451.0003334444815,2.6342256819089953,18.123543611056878
1000.0,451.08369456485497,3.084023551093404,19.48158852965105
1000.0,451.16705568522843,3.5672731164530633,20.819776236155448
1000.0,451.25041680560184,4.083390174071583,22.139009230378406
1000.0,451.3337779259753,4.631749889601976,23.440225104252782
1000.0,451.4171390463488,5.211687649532164,24.724395854102127
1000.0,451.50050016672225,5.822499961889428,25.992527151991084
1000.0,451.5838612870957,6.463445405189942,27.24565757724324
1000.0,451.6672224074692,7.133745624379745,28.484857809259175
1000.0,451.7505835278426,7.832586372455524,29.711229782815266
1000.0,451.83394464821606,8.55911859639721,30.92590580707037
1000.0,451.91730576858953,9.312459565989858,32.13004764955234
1000.0,452.000666888963,10.09169404405964,33.32484558643948
1000.0,452.08402800933646,10.895875496598014,34.5115174204937
1000.0,452.16738912970993,11.724027341199413,35.691307468041835
1000.0,452.25075025008334,12.57514423219107,36.86548551643951
1000.0,452.3341113704568,13.448193380789021,38.03534575348847
1000.0,452.4174724908303,14.3421159085719,39.20220567031198
1000.0,452.50083361120375,15.255828232523903,40.36740493922591
1000.0,452.5841947315772,16.188223479860376,41.53230426817304
1000.0,452.6675558519506,17.13817293081378,42.69828423331677
1000.0,452.7509169723241,18.104527487524525,43.866744091416805
1000.0,452.83427809269756,19.08611916715022,45.03910057363366
1000.0,452.917639213071,20.08176261727841,46.216786662431
1000.0,453.0010003334445,21.090256651701864,47.40125035326513
1000.0,453.08436145381796,22.110385804591846,48.593953402768804
1000.0,453.1677225741914,23.140921901083864,49.796370065152416
1000.0,453.25108369456484,24.18062564227185,51.00998581855925
1000.0,453.3344448149383,25.228248202590784,52.23629608312297
1000.0,453.4178059353118,26.28253283755448,53.47680493248484
1000.0,453.50116705568524,27.34221649980437,54.73302380053507
1000.0,453.5845281760587,28.406031461417047,56.00647018514782
1000.0,453.6678892964321,29.472706940412802,57.29866635068158
1000.0,453.7512504168056,30.54097072940429,58.611138031017575
1000.0,453.83461153717906,31.609550824324288,59.94541313490654
1000.0,453.9179726575525,32.67717705117371,61.3030204553905
1000.0,454.001333777926,33.74258268873588,62.685488385059905
1000.0,454.08469489829946,34.80450608521075,64.09434363889783
1000.0,454.16805601867287,35.86169226673245,65.53110998645269
1000.0,454.25141713904634,36.91289453574657,66.99730699506789
1000.0,454.3347782594198,37.95687605723846,68.49444878588184
1000.0,454.4181393797933,38.992411430821775,70.02404280429522
1000.0,454.50150050016674,40.018288246716374,71.58758860658251
1000.0,454.58486162054015,41.033308623667814,73.18657666430406
1000.0,454.6682227409136,42.03629072688533,74.82248718815168
1000.0,454.7515838612871,43.02607026410302,76.49678897283546
1000.0,454.83494498166056,44.00150195789874,78.21093826459169
1000.0,454.918306102034,44.961460992437495,79.96637765286376
1000.0,455.0016672224075,45.90484443284049,81.7645349876755
1000.0,455.0850283427809,46.830572615417886,83.6068223241845
1000.0,455.16838946315437,47.73759050704219,85.49463489586743
1000.0,455.25175058352784,48.62486903198032,87.42935011775336
1000.0,455.3351117039013,49.49140636454535,89.41232662108256
1000.0,455.4184728242748,50.33622918597451,91.4449033207284
1000.0,455.50183394464824,51.15839390398672,93.52839851667828
1000.0,455.58519506502165,51.95698783352232,95.66410903082672
1000.0,455.6685561853951,52.731130337218424,97.85330938028874
1000.0,455.7519173057686,53.4799739242259,100.09725098839591
1000.0,455.83527842614205,54.20270530602867,102.39716143448986
1000.0,455.9186395465155,54.898546407981584,104.75424374357904
1000.0,456.002000666889,55.56675533534111,107.16967571687508
1000.0,456.0853617872624,56.20662729262185,109.64460930417317
1000.0,456.16872290763587,56.817495455172555,112.1801700189889
1000.0,456.25208402800934,57.398731791926906,114.77745639731057
1000.0,456.3354451483828,57.9497478383477,117.43753950077144
1000.0,456.41880626875627,58.469995418646896,120.16146246499092
1000.0,456.5021673891297,58.958967316429664,122.95024009377802
1000.0,456.58552850950315,59.416197892976655,125.80485849983259
1000.0,456.6688896298766,59.841263652446074,128.72627479252301
1000.0,456.7522507502501,60.23378375334518,131.71541681326016
1000.0,456.83561187062355,60.5934204656896,134.7731829189288
1000.0,456.918972990997,60.91987957333842,137.900441813778
1000.0,457.00233411137043,61.212910721063004,141.098032430113
1000.0,457.0856952317439,61.47230770597802,144.36676385806996
1000.0,457.16905635211737,61.697908713034096,147.70741532469552
1000.0,457.25241747249083,61.88959649434275,151.12073622249196
1000.0,457.3357785928643,62.047298492175614,154.60744618752886
1000.0,457.41913971323777,62.17098690555163,158.1682352271607
1000.0,457.5025008336112,62.260678700397314,161.80376389732956
1000.0,457.58586195398465,62.3164355633369,165.51466352937254
1000.0,457.6692230743581,62.33836379924036,169.30153650619152
1000.0,457.7525841947316,62.3266141727285,173.1649565875847
1000.0,457.83594531510505,62.28138169390511,177.10546928447843
1000.0,457.9193064354785,62.20290534865663,181.12359228173997
1000.0,458.00266755585193,62.09146777392928,185.21981590919185
1000.0,458.0860286762254,61.947394878463356,189.39460366039154
1000.0,458.16938979659886,61.771055409532664,193.6483927586824
1000.0,458.25275091697233,61.56286046630481,197.9815947699652
1000.0,458.3361120373458,61.32326296050534,202.39459626158325
1000.0,458.41947315771927,61.052757025134305,206.88775950666044
1000.0,458.5028342780927,60.75187737204923,211.46142323317628
1000.0,458.58619539846615,60.42119859929198,216.11590341700915
1000.0,458.6695565188396,60.06133444909993,220.85149411812813
1000.0,458.7529176392131,59.672937017603374,225.66846835906148
1000.0,458.83627875958655,59.25669591727076,230.56707904472162
1000.0,458.91963987995996,58.81333739322266,235.54755992261704
1000.0,459.0030010003334,58.34362339459207,240.61012658243553
1000.0,459.0863621207069,57.8483506021645,245.754977493937
1000.0,459.16972324108036,57.32834941358535,250.98229508204994
1000.0,459.25308436145383,56.78448288747436,256.29224683802374
1000.0,459.3364454818273,56.21764564783747,261.68498646544646
1000.0,459.4198066022007,55.628762750215294,267.1606550599002
1000.0,459.5031677225742,55.0187885110541,272.7193823209865
1000.0,459.58652884294764,54.38870530183045,278.3612877954192
1000.0,459.6698899633211,53.739522309503286,284.0864821498475
1000.0,459.7532510836946,53.072274264908394,289.8950684720391
1000.0,459.83661220406805,52.388020140748914,295.7871435990231
1000.0,459.91997332444146,51.68784182087235,301.7627994707629
1000.0,460.0033344448149,50.97284274255888,307.8221245079022
1000.0,460.0866955651884,50.244146513578265,313.96520501210324
1000.0,460.17005668556186,49.50289550580259,320.19212658747193
1000.0,460.2534178059353,48.750249427189765,326.5029755815433
1000.0,460.3367789263088,47.98738387397818,332.8978405442839
1000.0,460.4201400466822,47.21548886495604,339.37681370354755
1000.0,460.5035011670557,46.435767359689414,345.9399924554077
1000.0,460.58686228742914,45.64943376261136,352.5874808677766
1000.0,460.6702234078026,44.85771241489041,359.31939119570995
1000.0,460.7535845281761,44.061836076009996,366.1358454067876
1000.0,460.83694564854954,43.26304439700125,373.0369767149534
1000.0,460.92030676892296,42.46258238728033,380.02293112119406
1000.0,461.0036678892964,41.6616988770471,387.0938689594328
